ID,Name,Category ID
0,Handy Person-Vol.,0
1,Electricians/Electric,3
2,Event Carpool,5
3,Coronavirus Support Phone Call,2
4,Errands w/out Member,2
5,Committee,4
6,Appliance Repair,3
7,Home Health Care,6
8,Const./Reno./Repairs,3
9,Club Express,1
10,Flooring/Carpets,3
11,Community Outreach (Covid-19),4
12,Chimneys-Repr.&Clean.,3
13,Event Planning,4
14,Friendly Visit,2
15,Coronavirus Remote Assistance,2
16,General Errands,7
17,Cell Phone Help,1
18,Garden/Landscape-Prof. ,3
19,Email,1
20,Bill Paying / Paperwork,2
21,Cloud Storage,1
22,Board Meetings,4
23,Gardening/Yard Help -  Vol,0
24,Grocery Shopping,7
25,Auto Repair,6
26,Heating/AC,3
27,Alarms/Locks/Security,3
